property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,kiran residency,sector 56,1.54,8324.0,3.0,4.0,3+,5.0,Old Property,1900.0,0.0,1.0,0.0,0.0,0.0,1.0,98.0,616.6666666666666
house,independent,sohna road,0.07,2527.0,1.0,1.0,0,1.0,Relatively New,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0
flat,the close north,sector 50,2.7,10365.0,3.0,3.0,3+,6.0,Moderately Old,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,868.3333333333334
flat,dlf new town heights,sector 90,1.25,6477.0,3.0,3.0,3+,6.0,Relatively New,1929.0,0.0,1.0,0.0,1.0,0.0,0.0,136.0,643.3333333333334
flat,ss,sector 85,1.19,7121.0,2.0,2.0,3,11.0,Relatively New,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,835.5
flat,ss the leaf,sector 85,1.12,6452.0,2.0,2.0,3,10.0,Relatively New,1485.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,868.0
flat,suncity platinum towers,sector 28,6.0,22346.0,3.0,3.0,2,8.0,Moderately Old,2983.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,895.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,10529.0,3.0,3.0,3,10.0,Relatively New,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,617.3333333333334
flat,adani m2k oyster grande,sector 102,4.55,10000.0,4.0,4.0,3+,11.0,Relatively New,4630.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,1137.5
house,independent,sector 13,9.0,11111.0,10.0,5.0,3+,4.0,Old Property,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0
house,independent,sector 2,0.7,7778.0,1.0,1.0,0,1.0,Moderately Old,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
flat,tarc maceo,sector 91,1.8,7759.0,3.0,3.0,3+,0.0,Relatively New,2578.0,0.0,0.0,0.0,1.0,0.0,2.0,45.0,773.3333333333334
flat,tulip violet,sector 69,1.6,10139.0,3.0,3.0,2,0.0,Relatively New,1428.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,526.0
flat,godrej nature plus,sector 33,1.35,8671.0,3.0,2.0,3+,17.0,New Property,1409.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,519.0
house,bptp pedestal,sector 70a,0.9,7582.0,2.0,2.0,3+,3.0,New Property,1319.0,0.0,1.0,0.0,0.0,1.0,0.0,153.0,593.5
house,ansals palam vihar,sector 2,9.0,19231.0,5.0,5.0,2,2.0,Old Property,4680.0,1.0,1.0,1.0,1.0,0.0,2.0,110.0,936.0
flat,sare crescent parc royal greens phase 1,sector 92,1.25,5833.0,4.0,4.0,3,20.0,Relatively New,1939.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,535.75
flat,chd avenue,sector 71,1.1,6790.0,3.0,3.0,3,11.0,Relatively New,1466.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,540.0
flat,m3m woodshire,sector 107,1.3,8922.0,3.0,3.0,3+,4.0,Relatively New,1554.0,0.0,0.0,0.0,1.0,0.0,1.0,174.0,485.6666666666667
flat,godrej nature plus,sector 33,1.65,8267.0,3.0,3.0,3,2.0,Under Construction,2218.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,665.3333333333334
house,independent,sector 26,18.0,39841.0,5.0,4.0,3+,4.0,Moderately Old,4518.0,1.0,1.0,1.0,1.0,0.0,1.0,113.0,903.6
flat,m3m heights,sector 65,2.1,16653.0,2.0,2.0,3,8.0,New Property,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,630.5
flat,shree vardhman victoria,sector 70,1.9,9744.0,3.0,3.0,3,10.0,New Property,1765.0,0.0,1.0,1.0,1.0,1.0,0.0,36.0,650.0
flat,dlf the ultima,sector 81,3.25,11805.0,4.0,4.0,3+,11.0,Moderately Old,2491.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,688.25
flat,ats triumph,sector 104,2.5,7937.0,4.0,4.0,3+,14.0,New Property,2851.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,787.5
flat,valley view estate,gwal pahari,0.38,6090.0,1.0,1.0,1,11.0,Moderately Old,565.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,624.0
flat,sonata group housing gh 24,manesar,1.65,5893.0,4.0,3.0,3,8.0,New Property,3111.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,700.0
house,dlf city plots,sector 26,16.0,37780.0,4.0,4.0,3,1.0,Relatively New,4235.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1058.75
flat,godrej,sector 79,2.0,8453.0,3.0,4.0,3+,2.0,Relatively New,2629.0,0.0,1.0,0.0,0.0,0.0,1.0,156.0,788.6666666666666
flat,dlf the ultima,sector 81,2.12,10081.0,3.0,3.0,3+,9.0,Relatively New,1650.0,1.0,1.0,0.0,1.0,1.0,2.0,49.0,701.0
flat,godrej oasis,sector 88a,1.5,8108.0,3.0,3.0,2,3.0,Relatively New,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,616.6666666666666
flat,ireo victory valley,sector 67,3.15,12847.0,3.0,4.0,3+,15.0,Relatively New,2219.0,0.0,1.0,0.0,1.0,0.0,1.0,149.0,817.3333333333334
house,international city by sobha phase 1,sector 109,6.0,9634.0,4.0,5.0,3,2.0,Moderately Old,6228.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1557.0
flat,conscient elevate,sector 59,4.25,18519.0,3.0,4.0,3,3.0,Under Construction,2077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0
flat,tulip violet,sector 69,1.4,8861.0,3.0,3.0,2,2.0,Relatively New,1428.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,526.6666666666666
house,independent,sector 13,0.45,4808.0,1.0,1.0,0,1.0,Old Property,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.0
flat,orchid petals,sector 49,2.23,10969.0,3.0,3.0,3,14.0,Relatively New,1840.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,677.6666666666666
house,independent,sector 8,0.32,7111.0,2.0,3.0,1,1.0,Relatively New,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0
house,vipul tatvam villa,sector 48,8.5,26235.0,4.0,4.0,2,2.0,Moderately Old,3240.0,0.0,1.0,1.0,1.0,0.0,0.0,88.0,810.0
flat,emaar mgf emerald floors premier,sector 65,2.4,14545.0,3.0,3.0,3,3.0,Relatively New,1600.0,1.0,1.0,0.0,0.0,0.0,1.0,49.0,550.0
