property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0.0,65.0,3.0,4.0,4.0,2.0,1900.0,1.0,0.0,1.0,2.0,2.0,1.54
1.0,113.0,1.0,1.0,0.0,3.0,33.0,0.0,0.0,0.0,1.0,1.0,0.07
0.0,59.0,3.0,3.0,4.0,0.0,2400.0,1.0,0.0,0.0,0.0,2.0,2.7
0.0,105.0,3.0,3.0,4.0,3.0,1929.0,1.0,0.0,0.0,2.0,2.0,1.25
0.0,99.0,2.0,2.0,3.0,3.0,1670.0,0.0,0.0,0.0,1.0,0.0,1.19
0.0,99.0,2.0,2.0,3.0,3.0,1485.0,0.0,0.0,0.0,1.0,2.0,1.12
0.0,35.0,3.0,3.0,2.0,0.0,2983.0,1.0,0.0,0.0,1.0,2.0,6.0
0.0,6.0,3.0,3.0,3.0,3.0,1676.0,0.0,0.0,0.0,2.0,2.0,1.95
0.0,6.0,4.0,4.0,4.0,3.0,4630.0,0.0,0.0,1.0,2.0,0.0,4.55
1.0,21.0,10.0,5.0,4.0,2.0,8100.0,0.0,0.0,0.0,1.0,2.0,9.0
1.0,27.0,1.0,1.0,0.0,0.0,900.0,0.0,0.0,0.0,1.0,1.0,0.7
0.0,106.0,3.0,3.0,4.0,3.0,2578.0,0.0,0.0,2.0,1.0,1.0,1.8
0.0,80.0,3.0,3.0,2.0,3.0,1428.0,0.0,0.0,0.0,1.0,1.0,1.6
0.0,41.0,3.0,2.0,4.0,1.0,1409.0,0.0,0.0,0.0,1.0,0.0,1.35
1.0,83.0,2.0,2.0,4.0,1.0,1319.0,1.0,0.0,0.0,0.0,2.0,0.9
1.0,27.0,5.0,5.0,2.0,2.0,4680.0,1.0,1.0,2.0,2.0,1.0,9.0
0.0,107.0,4.0,4.0,3.0,3.0,1939.0,1.0,0.0,0.0,2.0,0.0,1.25
0.0,84.0,3.0,3.0,3.0,3.0,1466.0,0.0,0.0,0.0,2.0,0.0,1.1
0.0,11.0,3.0,3.0,4.0,3.0,1554.0,0.0,0.0,1.0,0.0,2.0,1.3
0.0,41.0,3.0,3.0,3.0,4.0,2218.0,1.0,0.0,0.0,1.0,1.0,1.65
1.0,33.0,5.0,4.0,4.0,0.0,4518.0,1.0,1.0,1.0,2.0,2.0,18.0
0.0,75.0,2.0,2.0,3.0,1.0,1015.0,0.0,0.0,0.0,1.0,2.0,2.1
0.0,82.0,3.0,3.0,3.0,1.0,1765.0,1.0,1.0,0.0,1.0,2.0,1.9
0.0,94.0,4.0,4.0,4.0,0.0,2491.0,1.0,0.0,0.0,1.0,0.0,3.25
0.0,8.0,4.0,4.0,4.0,1.0,2851.0,1.0,0.0,0.0,1.0,0.0,2.5
0.0,1.0,1.0,1.0,1.0,0.0,565.0,0.0,0.0,0.0,1.0,0.0,0.38
0.0,2.0,4.0,3.0,3.0,1.0,3111.0,1.0,0.0,0.0,1.0,2.0,1.65
1.0,33.0,4.0,4.0,3.0,3.0,4235.0,0.0,1.0,0.0,1.0,1.0,16.0
0.0,91.0,3.0,4.0,4.0,3.0,2629.0,1.0,0.0,1.0,0.0,1.0,2.0
0.0,94.0,3.0,3.0,4.0,3.0,1650.0,1.0,0.0,2.0,1.0,2.0,2.12
0.0,101.0,3.0,3.0,2.0,3.0,2056.0,0.0,0.0,0.0,1.0,2.0,1.5
0.0,77.0,3.0,4.0,4.0,3.0,2219.0,1.0,0.0,1.0,2.0,0.0,3.15
1.0,13.0,4.0,5.0,3.0,0.0,6228.0,0.0,0.0,0.0,2.0,1.0,6.0
0.0,68.0,3.0,4.0,3.0,4.0,2077.0,0.0,0.0,0.0,1.0,2.0,4.25
0.0,80.0,3.0,3.0,2.0,3.0,1428.0,0.0,0.0,0.0,2.0,1.0,1.4
1.0,21.0,1.0,1.0,0.0,2.0,936.0,0.0,0.0,0.0,1.0,1.0,0.45
0.0,57.0,3.0,3.0,3.0,3.0,1840.0,0.0,0.0,0.0,1.0,0.0,2.23
1.0,92.0,2.0,3.0,1.0,3.0,450.0,0.0,0.0,0.0,1.0,1.0,0.32
1.0,56.0,4.0,4.0,2.0,0.0,3240.0,1.0,1.0,0.0,2.0,1.0,8.5
0.0,75.0,3.0,3.0,3.0,3.0,1600.0,1.0,0.0,1.0,1.0,2.0,2.4
0.0,113.0,2.0,2.0,2.0,3.0,500.0,0.0,0.0,1.0,1.0,2.0,0.28
0.0,85.0,4.0,4.0,4.0,1.0,4000.0,1.0,1.0,1.0,0.0,1.0,5.0
1.0,2.0,3.0,1.0,0.0,0.0,1337.4,0.0,0.0,0.0,1.0,2.0,2.0
0.0,94.0,3.0,4.0,4.0,3.0,1760.0,1.0,0.0,2.0,0.0,0.0,2.34
0.0,18.0,4.0,6.0,4.0,0.0,3662.34,1.0,0.0,1.0,0.0,0.0,5.6
0.0,12.0,3.0,3.0,2.0,1.0,2120.0,1.0,0.0,0.0,2.0,0.0,3.75
1.0,52.0,2.0,6.0,3.0,0.0,5490.0,1.0,1.0,0.0,2.0,2.0,15.5
1.0,81.0,2.0,2.0,2.0,2.0,1440.0,0.0,0.0,0.0,1.0,1.0,1.95
1.0,46.0,1.0,1.0,0.0,3.0,1535.0,0.0,0.0,0.0,1.0,1.0,1.16
0.0,80.0,3.0,3.0,1.0,3.0,1376.0,0.0,0.0,0.0,0.0,0.0,1.4
0.0,111.0,3.0,5.0,3.0,3.0,1807.0,1.0,0.0,0.0,2.0,2.0,1.23
0.0,80.0,4.0,4.0,2.0,3.0,1804.0,1.0,1.0,0.0,0.0,2.0,1.7
1.0,59.0,4.0,5.0,4.0,1.0,4500.0,1.0,0.0,1.0,2.0,2.0,3.99
0.0,105.0,3.0,3.0,3.0,0.0,1437.0,1.0,0.0,0.0,2.0,0.0,1.25
0.0,75.0,4.0,4.0,4.0,3.0,2194.0,1.0,0.0,2.0,0.0,1.0,2.79
1.0,49.0,1.0,4.0,3.0,0.0,603.0,0.0,0.0,0.0,1.0,2.0,0.92
0.0,18.0,2.0,2.0,3.0,3.0,2441.0,0.0,0.0,0.0,0.0,2.0,2.6
1.0,81.0,2.0,2.0,1.0,0.0,225.0,0.0,0.0,0.0,1.0,1.0,0.27
0.0,106.0,4.0,4.0,4.0,0.0,2139.0,1.0,0.0,0.0,2.0,0.0,1.65
0.0,13.0,3.0,3.0,4.0,0.0,2303.0,1.0,0.0,0.0,2.0,2.0,1.68
0.0,7.0,4.0,6.0,4.0,3.0,2718.0,1.0,0.0,0.0,2.0,2.0,2.14
1.0,15.0,4.0,3.0,2.0,2.0,1800.0,0.0,0.0,0.0,1.0,1.0,2.2
1.0,61.0,3.0,3.0,3.0,1.0,1800.0,1.0,0.0,1.0,1.0,2.0,2.25
1.0,114.0,3.0,3.0,0.0,0.0,9000.0,0.0,0.0,0.0,1.0,1.0,6.25
0.0,107.0,4.0,4.0,3.0,0.0,1893.0,0.0,0.0,0.0,2.0,1.0,0.8
0.0,113.0,3.0,3.0,5.0,3.0,1780.0,0.0,0.0,0.0,2.0,0.0,1.2
1.0,81.0,2.0,2.0,1.0,3.0,1800.0,0.0,0.0,0.0,1.0,1.0,2.0
0.0,95.0,3.0,3.0,3.0,0.0,1234.0,0.0,0.0,1.0,2.0,2.0,0.86
1.0,59.0,5.0,6.0,0.0,0.0,3240.0,0.0,0.0,0.0,1.0,1.0,11.5
0.0,103.0,2.0,2.0,2.0,1.0,1226.0,0.0,0.0,0.0,1.0,1.0,1.0
0.0,3.0,4.0,4.0,2.0,4.0,3889.0,1.0,0.0,1.0,2.0,2.0,4.0
0.0,105.0,4.0,4.0,4.0,3.0,2214.0,0.0,0.0,0.0,0.0,0.0,1.65
0.0,11.0,2.0,2.0,2.0,3.0,543.0,0.0,0.0,0.0,1.0,0.0,0.28
0.0,8.0,4.0,4.0,4.0,3.0,2851.0,1.0,0.0,0.0,2.0,0.0,2.6
0.0,6.0,3.0,4.0,4.0,0.0,1945.0,1.0,0.0,0.0,2.0,2.0,2.2
0.0,36.0,2.0,2.0,3.0,4.0,1307.0,0.0,0.0,0.0,2.0,1.0,1.2
1.0,104.0,2.0,3.0,0.0,2.0,900.0,0.0,0.0,0.0,1.0,2.0,1.65
0.0,113.0,2.0,2.0,1.0,3.0,743.0,0.0,0.0,0.0,1.0,2.0,0.29
1.0,9.0,3.0,2.0,1.0,3.0,720.0,0.0,0.0,0.0,1.0,1.0,0.65
0.0,6.0,3.0,3.0,4.0,3.0,2222.0,1.0,0.0,1.0,2.0,2.0,1.98
0.0,12.0,4.0,5.0,3.0,3.0,2343.0,0.0,0.0,0.0,2.0,0.0,3.95
0.0,72.0,4.0,6.0,3.0,3.0,3867.0,1.0,0.0,1.0,0.0,2.0,9.2
0.0,68.0,3.0,1.0,5.0,4.0,2295.0,0.0,0.0,0.0,1.0,1.0,3.9
1.0,55.0,1.0,4.0,3.0,3.0,576.0,0.0,0.0,0.0,1.0,2.0,0.99
0.0,72.0,2.0,2.0,3.0,4.0,1676.0,0.0,0.0,0.0,2.0,0.0,2.15
